"DATE","TIME PERIOD","Yield curve spot rate, 3-month maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition) (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M)"
"2004-12-01","01 Dec 2004","2.096807"
"2004-12-02","02 Dec 2004","2.111684"
"2004-12-03","03 Dec 2004","2.109739"
"2004-12-06","06 Dec 2004","2.093431"
"2004-12-07","07 Dec 2004","2.094120"
"2004-12-08","08 Dec 2004","2.096333"
"2004-12-09","09 Dec 2004","2.090347"
"2004-12-10","10 Dec 2004","2.102438"
"2004-12-13","13 Dec 2004","2.091911"
"2004-12-14","14 Dec 2004","2.098629"
"2004-12-15","15 Dec 2004","2.097209"
"2004-12-16","16 Dec 2004","2.092550"
"2004-12-17","17 Dec 2004","2.094313"
"2004-12-20","20 Dec 2004","2.099958"
"2004-12-21","21 Dec 2004","2.145671"
"2004-12-22","22 Dec 2004","2.095498"
"2004-12-23","23 Dec 2004","2.083845"
"2004-12-24","24 Dec 2004","2.075433"
"2004-12-27","27 Dec 2004","2.085267"
"2004-12-28","28 Dec 2004","2.138951"
"2004-12-29","29 Dec 2004","2.090457"
"2004-12-30","30 Dec 2004","2.081448"
"2004-12-31","31 Dec 2004","2.062602"
"2005-01-03","03 Jan 2005","2.109629"
"2005-01-04","04 Jan 2005","2.055906"
"2005-01-05","05 Jan 2005","2.064858"
"2005-01-06","06 Jan 2005","2.060515"
"2005-01-07","07 Jan 2005","2.048016"
"2005-01-10","10 Jan 2005","2.034898"
"2005-01-11","11 Jan 2005","2.062037"
"2005-01-12","12 Jan 2005","2.062085"
"2005-01-13","13 Jan 2005","2.052742"
"2005-01-14","14 Jan 2005","2.056923"
"2005-01-17","17 Jan 2005","2.051974"
"2005-01-18","18 Jan 2005","2.055868"
"2005-01-19","19 Jan 2005","2.057891"
"2005-01-20","20 Jan 2005","2.058574"
"2005-01-21","21 Jan 2005","2.060204"
"2005-01-24","24 Jan 2005","2.052405"
"2005-01-25","25 Jan 2005","2.050607"
"2005-01-26","26 Jan 2005","2.048846"
"2005-01-27","27 Jan 2005","2.048596"
"2005-01-28","28 Jan 2005","2.050430"
"2005-01-31","31 Jan 2005","2.053021"
"2005-02-01","01 Feb 2005","2.037724"
"2005-02-02","02 Feb 2005","2.051172"
"2005-02-03","03 Feb 2005","2.064542"
"2005-02-04","04 Feb 2005","2.055051"
"2005-02-07","07 Feb 2005","2.052471"
"2005-02-08","08 Feb 2005","2.055852"
"2005-02-09","09 Feb 2005","2.052393"
"2005-02-10","10 Feb 2005","2.049115"
"2005-02-11","11 Feb 2005","2.051779"
"2005-02-14","14 Feb 2005","2.054705"
"2005-02-15","15 Feb 2005","2.048256"
"2005-02-16","16 Feb 2005","2.042919"
"2005-02-17","17 Feb 2005","2.042729"
"2005-02-18","18 Feb 2005","2.033626"
"2005-02-21","21 Feb 2005","2.038853"
"2005-02-22","22 Feb 2005","2.045126"
"2005-02-23","23 Feb 2005","2.048626"
"2005-02-24","24 Feb 2005","2.052984"
"2005-02-25","25 Feb 2005","2.054982"
"2005-02-28","28 Feb 2005","2.051296"
"2005-03-01","01 Mar 2005","2.050360"
"2005-03-02","02 Mar 2005","2.051515"
"2005-03-03","03 Mar 2005","2.045851"
"2005-03-04","04 Mar 2005","2.046272"
"2005-03-07","07 Mar 2005","2.042469"
"2005-03-08","08 Mar 2005","2.043912"
"2005-03-09","09 Mar 2005","2.049226"
"2005-03-10","10 Mar 2005","2.049641"
"2005-03-11","11 Mar 2005","2.049092"
"2005-03-14","14 Mar 2005","2.046536"
"2005-03-15","15 Mar 2005","2.049379"
"2005-03-16","16 Mar 2005","2.049252"
"2005-03-17","17 Mar 2005","2.058007"
"2005-03-18","18 Mar 2005","2.054839"
"2005-03-21","21 Mar 2005","2.058260"
"2005-03-22","22 Mar 2005","2.062094"
"2005-03-23","23 Mar 2005","2.069214"
"2005-03-24","24 Mar 2005","2.073449"
"2005-03-29","29 Mar 2005","2.069467"
"2005-03-30","30 Mar 2005","2.071523"
"2005-03-31","31 Mar 2005","2.049133"
"2005-04-01","01 Apr 2005","2.043868"
"2005-04-04","04 Apr 2005","2.062871"
"2005-04-05","05 Apr 2005","2.063123"
"2005-04-06","06 Apr 2005","2.059673"
"2005-04-07","07 Apr 2005","2.047422"
"2005-04-08","08 Apr 2005","2.048984"
"2005-04-11","11 Apr 2005","2.042544"
"2005-04-12","12 Apr 2005","2.041661"
"2005-04-13","13 Apr 2005","2.042450"
"2005-04-14","14 Apr 2005","2.038725"
"2005-04-15","15 Apr 2005","2.026100"
"2005-04-18","18 Apr 2005","2.013125"
"2005-04-19","19 Apr 2005","2.024820"
"2005-04-20","20 Apr 2005","2.029755"
"2005-04-21","21 Apr 2005","2.043242"
"2005-04-22","22 Apr 2005","2.021822"
"2005-04-25","25 Apr 2005","2.026045"
"2005-04-26","26 Apr 2005","2.021368"
"2005-04-27","27 Apr 2005","2.017145"
"2005-04-28","28 Apr 2005","2.013743"
"2005-04-29","29 Apr 2005","2.024835"
"2005-05-02","02 May 2005","2.020310"
"2005-05-03","03 May 2005","2.013749"
"2005-05-04","04 May 2005","2.018419"
"2005-05-05","05 May 2005","2.015859"
"2005-05-06","06 May 2005","2.014408"
"2005-05-09","09 May 2005","2.012195"
"2005-05-10","10 May 2005","2.013416"
"2005-05-11","11 May 2005","2.017585"
"2005-05-12","12 May 2005","2.019083"
"2005-05-13","13 May 2005","2.017847"
"2005-05-16","16 May 2005","2.023075"
"2005-05-17","17 May 2005","2.020610"
"2005-05-18","18 May 2005","2.016793"
"2005-05-19","19 May 2005","2.018598"
"2005-05-20","20 May 2005","2.018369"
"2005-05-23","23 May 2005","2.023176"
"2005-05-24","24 May 2005","2.020805"
"2005-05-25","25 May 2005","2.020144"
"2005-05-26","26 May 2005","2.024360"
"2005-05-27","27 May 2005","2.026892"
"2005-05-30","30 May 2005","2.026720"
"2005-05-31","31 May 2005","2.007829"
"2005-06-01","01 Jun 2005","1.992214"
"2005-06-02","02 Jun 2005","2.042744"
"2005-06-03","03 Jun 2005","2.052848"
"2005-06-06","06 Jun 2005","2.052689"
"2005-06-07","07 Jun 2005","2.060312"
"2005-06-08","08 Jun 2005","2.061310"
"2005-06-09","09 Jun 2005","2.051453"
"2005-06-10","10 Jun 2005","2.039551"
"2005-06-13","13 Jun 2005","2.033667"
"2005-06-14","14 Jun 2005","2.028160"
"2005-06-15","15 Jun 2005","2.021823"
"2005-06-16","16 Jun 2005","2.017275"
"2005-06-17","17 Jun 2005","2.020607"
"2005-06-20","20 Jun 2005","2.019417"
"2005-06-21","21 Jun 2005","2.012369"
"2005-06-22","22 Jun 2005","2.015177"
"2005-06-23","23 Jun 2005","2.011008"
"2005-06-24","24 Jun 2005","2.015276"
"2005-06-27","27 Jun 2005","2.019592"
"2005-06-28","28 Jun 2005","2.025624"
"2005-06-29","29 Jun 2005","2.029386"
"2005-06-30","30 Jun 2005","2.037583"
"2005-07-01","01 Jul 2005","2.034127"
"2005-07-04","04 Jul 2005","2.038225"
"2005-07-05","05 Jul 2005","2.028465"
"2005-07-06","06 Jul 2005","2.026241"
"2005-07-07","07 Jul 2005","2.019373"
"2005-07-08","08 Jul 2005","2.032207"
"2005-07-11","11 Jul 2005","2.039742"
"2005-07-12","12 Jul 2005","2.035182"
"2005-07-13","13 Jul 2005","2.034132"
"2005-07-14","14 Jul 2005","2.033387"
"2005-07-15","15 Jul 2005","2.043338"
"2005-07-18","18 Jul 2005","2.044405"
"2005-07-19","19 Jul 2005","2.041547"
"2005-07-20","20 Jul 2005","2.043372"
"2005-07-21","21 Jul 2005","2.052457"
"2005-07-22","22 Jul 2005","2.049807"
"2005-07-25","25 Jul 2005","2.051864"
"2005-07-26","26 Jul 2005","2.059090"
"2005-07-27","27 Jul 2005","2.062995"
"2005-07-28","28 Jul 2005","2.062197"
"2005-07-29","29 Jul 2005","2.065416"
"2005-08-01","01 Aug 2005","2.062612"
"2005-08-02","02 Aug 2005","2.049355"
"2005-08-03","03 Aug 2005","2.060760"
"2005-08-04","04 Aug 2005","2.062558"
"2005-08-05","05 Aug 2005","2.061691"
"2005-08-08","08 Aug 2005","2.058716"
"2005-08-09","09 Aug 2005","2.061886"
"2005-08-10","10 Aug 2005","2.065238"
"2005-08-11","11 Aug 2005","2.061173"
"2005-08-12","12 Aug 2005","2.059876"
"2005-08-15","15 Aug 2005","2.068086"
"2005-08-16","16 Aug 2005","2.071407"
"2005-08-17","17 Aug 2005","2.070171"
"2005-08-18","18 Aug 2005","2.066604"
"2005-08-19","19 Aug 2005","2.065758"
"2005-08-22","22 Aug 2005","2.062765"
"2005-08-23","23 Aug 2005","2.061380"
"2005-08-24","24 Aug 2005","2.065166"
"2005-08-25","25 Aug 2005","2.062759"
"2005-08-26","26 Aug 2005","2.065326"
"2005-08-29","29 Aug 2005","2.064172"
"2005-08-30","30 Aug 2005","2.060460"
"2005-08-31","31 Aug 2005","2.059647"
"2005-09-01","01 Sep 2005","2.034092"
"2005-09-02","02 Sep 2005","2.027513"
"2005-09-05","05 Sep 2005","2.027425"
"2005-09-06","06 Sep 2005","2.029507"
"2005-09-07","07 Sep 2005","2.032525"
"2005-09-08","08 Sep 2005","2.037822"
"2005-09-09","09 Sep 2005","2.040177"
"2005-09-12","12 Sep 2005","2.038982"
"2005-09-13","13 Sep 2005","2.039099"
"2005-09-14","14 Sep 2005","2.041065"
"2005-09-15","15 Sep 2005","2.039302"
"2005-09-16","16 Sep 2005","2.039868"
"2005-09-19","19 Sep 2005","2.037810"
"2005-09-20","20 Sep 2005","2.035400"
"2005-09-21","21 Sep 2005","2.036783"
"2005-09-22","22 Sep 2005","2.036880"
"2005-09-23","23 Sep 2005","2.038453"
"2005-09-26","26 Sep 2005","2.047382"
"2005-09-27","27 Sep 2005","2.045370"
"2005-09-28","28 Sep 2005","2.046453"
"2005-09-29","29 Sep 2005","2.054723"
"2005-09-30","30 Sep 2005","2.055112"
"2005-10-03","03 Oct 2005","2.052707"
"2005-10-04","04 Oct 2005","2.056460"
"2005-10-05","05 Oct 2005","2.056054"
"2005-10-06","06 Oct 2005","2.056352"
"2005-10-07","07 Oct 2005","2.091086"
"2005-10-10","10 Oct 2005","2.083080"
"2005-10-11","11 Oct 2005","2.030897"
"2005-10-12","12 Oct 2005","2.024820"
"2005-10-13","13 Oct 2005","2.036651"
"2005-10-14","14 Oct 2005","2.046962"
"2005-10-17","17 Oct 2005","2.058267"
"2005-10-18","18 Oct 2005","2.062540"
"2005-10-19","19 Oct 2005","2.052460"
"2005-10-20","20 Oct 2005","2.068704"
"2005-10-21","21 Oct 2005","2.037333"
"2005-10-24","24 Oct 2005","2.032391"
"2005-10-25","25 Oct 2005","2.044237"
"2005-10-26","26 Oct 2005","2.076848"
"2005-10-27","27 Oct 2005","2.091139"
"2005-10-28","28 Oct 2005","2.117676"
"2005-10-31","31 Oct 2005","2.112172"
"2005-11-01","01 Nov 2005","2.115411"
"2005-11-02","02 Nov 2005","2.135927"
"2005-11-03","03 Nov 2005","2.122957"
"2005-11-04","04 Nov 2005","2.121191"
"2005-11-07","07 Nov 2005","2.150077"
"2005-11-08","08 Nov 2005","2.165097"
"2005-11-09","09 Nov 2005","2.185813"
"2005-11-10","10 Nov 2005","2.176039"
"2005-11-11","11 Nov 2005","2.178677"
"2005-11-14","14 Nov 2005","2.198988"
"2005-11-15","15 Nov 2005","2.204208"
"2005-11-16","16 Nov 2005","2.202132"
"2005-11-17","17 Nov 2005","2.215936"
"2005-11-18","18 Nov 2005","2.282940"
"2005-11-21","21 Nov 2005","2.295299"
"2005-11-22","22 Nov 2005","2.303746"
"2005-11-23","23 Nov 2005","2.314571"
"2005-11-24","24 Nov 2005","2.314063"
"2005-11-25","25 Nov 2005","2.318623"
"2005-11-28","28 Nov 2005","2.327790"
"2005-11-29","29 Nov 2005","2.325731"
"2005-11-30","30 Nov 2005","2.332155"
"2005-12-01","01 Dec 2005","2.327228"
"2005-12-02","02 Dec 2005","2.317837"
"2005-12-05","05 Dec 2005","2.309545"
"2005-12-06","06 Dec 2005","2.308409"
"2005-12-07","07 Dec 2005","2.318249"
"2005-12-08","08 Dec 2005","2.319027"
"2005-12-09","09 Dec 2005","2.325943"
"2005-12-12","12 Dec 2005","2.319107"
"2005-12-13","13 Dec 2005","2.317691"
"2005-12-14","14 Dec 2005","2.332823"
"2005-12-15","15 Dec 2005","2.345925"
"2005-12-16","16 Dec 2005","2.355341"
"2005-12-19","19 Dec 2005","2.351141"
"2005-12-20","20 Dec 2005","2.353222"
"2005-12-21","21 Dec 2005","2.360089"
"2005-12-22","22 Dec 2005","2.357814"
"2005-12-23","23 Dec 2005","2.357261"
"2005-12-27","27 Dec 2005","2.355363"
"2005-12-28","28 Dec 2005","2.348067"
"2005-12-29","29 Dec 2005","2.339488"
"2005-12-30","30 Dec 2005","2.346832"
"2006-01-02","02 Jan 2006","2.338851"
"2006-01-03","03 Jan 2006","2.340697"
"2006-01-04","04 Jan 2006","2.347787"
"2006-01-05","05 Jan 2006","2.352072"
"2006-01-06","06 Jan 2006","2.349041"
"2006-01-09","09 Jan 2006","2.351422"
"2006-01-10","10 Jan 2006","2.360649"
"2006-01-11","11 Jan 2006","2.375154"
"2006-01-12","12 Jan 2006","2.373720"
"2006-01-13","13 Jan 2006","2.365155"
"2006-01-16","16 Jan 2006","2.372963"
"2006-01-17","17 Jan 2006","2.371892"
"2006-01-18","18 Jan 2006","2.382154"
"2006-01-19","19 Jan 2006","2.392597"
"2006-01-20","20 Jan 2006","2.392652"
"2006-01-23","23 Jan 2006","2.395394"
"2006-01-24","24 Jan 2006","2.386633"
"2006-01-25","25 Jan 2006","2.389738"
"2006-01-26","26 Jan 2006","2.393403"
"2006-01-27","27 Jan 2006","2.400046"
"2006-01-30","30 Jan 2006","2.409484"
"2006-01-31","31 Jan 2006","2.413449"
"2006-02-01","01 Feb 2006","2.414904"
"2006-02-02","02 Feb 2006","2.410323"
"2006-02-03","03 Feb 2006","2.411543"
"2006-02-06","06 Feb 2006","2.410699"
"2006-02-07","07 Feb 2006","2.419787"
"2006-02-08","08 Feb 2006","2.421708"
"2006-02-09","09 Feb 2006","2.431224"
"2006-02-10","10 Feb 2006","2.438214"
"2006-02-13","13 Feb 2006","2.438828"
"2006-02-14","14 Feb 2006","2.439575"
"2006-02-15","15 Feb 2006","2.439755"
"2006-02-16","16 Feb 2006","2.449417"
"2006-02-17","17 Feb 2006","2.447265"
"2006-02-20","20 Feb 2006","2.456085"
"2006-02-21","21 Feb 2006","2.466040"
"2006-02-22","22 Feb 2006","2.468655"
"2006-02-23","23 Feb 2006","2.476154"
"2006-02-24","24 Feb 2006","2.479509"
"2006-02-27","27 Feb 2006","2.484598"
"2006-02-28","28 Feb 2006","2.481135"
"2006-03-01","01 Mar 2006","2.492351"
"2006-03-02","02 Mar 2006","2.508850"
"2006-03-03","03 Mar 2006","2.518657"
"2006-03-06","06 Mar 2006","2.520043"
"2006-03-07","07 Mar 2006","2.518819"
"2006-03-08","08 Mar 2006","2.518411"
"2006-03-09","09 Mar 2006","2.519658"
"2006-03-10","10 Mar 2006","2.523609"
"2006-03-13","13 Mar 2006","2.523890"
"2006-03-14","14 Mar 2006","2.519090"
"2006-03-15","15 Mar 2006","2.519764"
"2006-03-16","16 Mar 2006","2.528346"
"2006-03-17","17 Mar 2006","2.532181"
"2006-03-20","20 Mar 2006","2.556540"
"2006-03-21","21 Mar 2006","2.562236"
"2006-03-22","22 Mar 2006","2.564640"
"2006-03-23","23 Mar 2006","2.569851"
"2006-03-24","24 Mar 2006","2.570290"
"2006-03-27","27 Mar 2006","2.576895"
"2006-03-28","28 Mar 2006","2.602154"
"2006-03-29","29 Mar 2006","2.617567"
"2006-03-30","30 Mar 2006","2.622560"
"2006-03-31","31 Mar 2006","2.625986"
"2006-04-03","03 Apr 2006","2.621511"
"2006-04-04","04 Apr 2006","2.624882"
"2006-04-05","05 Apr 2006","2.634934"
"2006-04-06","06 Apr 2006","2.545762"
"2006-04-07","07 Apr 2006","2.554736"
"2006-04-10","10 Apr 2006","2.555566"
"2006-04-11","11 Apr 2006","2.567192"
"2006-04-12","12 Apr 2006","2.557266"
"2006-04-13","13 Apr 2006","2.555275"
"2006-04-18","18 Apr 2006","2.530144"
"2006-04-19","19 Apr 2006","2.537674"
"2006-04-20","20 Apr 2006","2.555216"
"2006-04-21","21 Apr 2006","2.557297"
"2006-04-24","24 Apr 2006","2.558882"
"2006-04-25","25 Apr 2006","2.559636"
"2006-04-26","26 Apr 2006","2.581138"
"2006-04-27","27 Apr 2006","2.601567"
"2006-04-28","28 Apr 2006","2.610300"
"2006-05-02","02 May 2006","2.615690"
"2006-05-03","03 May 2006","2.603445"
"2006-05-04","04 May 2006","2.611220"
"2006-05-05","05 May 2006","2.623300"
"2006-05-08","08 May 2006","2.625170"
"2006-05-09","09 May 2006","2.642502"
"2006-05-10","10 May 2006","2.640582"
"2006-05-11","11 May 2006","2.645407"
"2006-05-12","12 May 2006","2.650847"
"2006-05-15","15 May 2006","2.652188"
"2006-05-16","16 May 2006","2.652294"
"2006-05-17","17 May 2006","2.667467"
"2006-05-18","18 May 2006","2.671955"
"2006-05-19","19 May 2006","2.672321"
"2006-05-22","22 May 2006","2.664273"
"2006-05-23","23 May 2006","2.664068"
"2006-05-24","24 May 2006","2.660246"
"2006-05-25","25 May 2006","2.671770"
"2006-05-26","26 May 2006","2.673895"
"2006-05-29","29 May 2006","2.679207"
"2006-05-30","30 May 2006","2.691903"
"2006-05-31","31 May 2006","2.699178"
"2006-06-01","01 Jun 2006","2.722462"
"2006-06-02","02 Jun 2006","2.718306"
"2006-06-05","05 Jun 2006","2.733897"
"2006-06-06","06 Jun 2006","2.745061"
"2006-06-07","07 Jun 2006","2.752249"
"2006-06-08","08 Jun 2006","2.719380"
"2006-06-09","09 Jun 2006","2.723807"
"2006-06-12","12 Jun 2006","2.731036"
"2006-06-13","13 Jun 2006","2.733570"
"2006-06-14","14 Jun 2006","2.741350"
"2006-06-15","15 Jun 2006","2.751346"
"2006-06-16","16 Jun 2006","2.752841"
"2006-06-19","19 Jun 2006","2.770477"
"2006-06-20","20 Jun 2006","2.765942"
"2006-06-21","21 Jun 2006","2.763398"
"2006-06-22","22 Jun 2006","2.770444"
"2006-06-23","23 Jun 2006","2.769046"
"2006-06-26","26 Jun 2006","2.788499"
"2006-06-27","27 Jun 2006","2.807956"
"2006-06-28","28 Jun 2006","2.802285"
"2006-06-29","29 Jun 2006","2.789350"
"2006-06-30","30 Jun 2006","2.799706"
"2006-07-03","03 Jul 2006","2.795540"
"2006-07-04","04 Jul 2006","2.791520"
"2006-07-05","05 Jul 2006","2.794318"
"2006-07-06","06 Jul 2006","2.817254"
"2006-07-07","07 Jul 2006","2.821399"
"2006-07-10","10 Jul 2006","2.818489"
"2006-07-11","11 Jul 2006","2.817228"
"2006-07-12","12 Jul 2006","2.812114"
"2006-07-13","13 Jul 2006","2.839525"
"2006-07-14","14 Jul 2006","2.845893"
"2006-07-17","17 Jul 2006","2.860670"
"2006-07-18","18 Jul 2006","2.866672"
"2006-07-19","19 Jul 2006","2.870831"
"2006-07-20","20 Jul 2006","2.887278"
"2006-07-21","21 Jul 2006","2.898082"
"2006-07-24","24 Jul 2006","2.906444"
"2006-07-25","25 Jul 2006","2.904576"
"2006-07-26","26 Jul 2006","2.893535"
"2006-07-27","27 Jul 2006","2.922053"
"2006-07-28","28 Jul 2006","2.914491"
"2006-07-31","31 Jul 2006","2.927641"
"2006-08-01","01 Aug 2006","2.917726"
"2006-08-02","02 Aug 2006","2.920863"
"2006-08-03","03 Aug 2006","2.932317"
"2006-08-04","04 Aug 2006","2.934982"
"2006-08-07","07 Aug 2006","2.948861"
"2006-08-08","08 Aug 2006","2.956262"
"2006-08-09","09 Aug 2006","2.958807"
"2006-08-10","10 Aug 2006","2.974384"
"2006-08-11","11 Aug 2006","2.986327"
"2006-08-14","14 Aug 2006","2.984577"
"2006-08-15","15 Aug 2006","2.987204"
"2006-08-16","16 Aug 2006","2.996870"
"2006-08-17","17 Aug 2006","3.002081"
"2006-08-18","18 Aug 2006","3.009390"
"2006-08-21","21 Aug 2006","3.014024"
"2006-08-22","22 Aug 2006","3.030263"
"2006-08-23","23 Aug 2006","3.032840"
"2006-08-24","24 Aug 2006","3.018982"
"2006-08-25","25 Aug 2006","3.026649"
"2006-08-28","28 Aug 2006","3.033136"
"2006-08-29","29 Aug 2006","3.036575"
"2006-08-30","30 Aug 2006","3.046119"
"2006-08-31","31 Aug 2006","3.058351"
"2006-09-01","01 Sep 2006","3.049724"
"2006-09-04","04 Sep 2006","3.056015"
"2006-09-05","05 Sep 2006","3.062940"
"2006-09-06","06 Sep 2006","3.068827"
"2006-09-07","07 Sep 2006","3.082098"
"2006-09-08","08 Sep 2006","3.091340"
"2006-09-11","11 Sep 2006","3.096003"
"2006-09-12","12 Sep 2006","3.108684"
"2006-09-13","13 Sep 2006","3.112863"
"2006-09-14","14 Sep 2006","3.126770"
"2006-09-15","15 Sep 2006","3.120114"
"2006-09-18","18 Sep 2006","3.116937"
"2006-09-19","19 Sep 2006","3.120652"
"2006-09-20","20 Sep 2006","3.126443"
"2006-09-21","21 Sep 2006","3.134412"
"2006-09-22","22 Sep 2006","3.167917"
"2006-09-25","25 Sep 2006","3.158185"
"2006-09-26","26 Sep 2006","3.160237"
"2006-09-27","27 Sep 2006","3.177536"
"2006-09-28","28 Sep 2006","3.172483"
"2006-09-29","29 Sep 2006","3.175045"
"2006-10-02","02 Oct 2006","3.138968"
"2006-10-03","03 Oct 2006","3.137951"
"2006-10-04","04 Oct 2006","3.147192"
"2006-10-05","05 Oct 2006","3.149167"
"2006-10-06","06 Oct 2006","3.164928"
"2006-10-09","09 Oct 2006","3.160060"
"2006-10-10","10 Oct 2006","3.167310"
"2006-10-11","11 Oct 2006","3.170559"
"2006-10-12","12 Oct 2006","3.177222"
"2006-10-13","13 Oct 2006","3.182450"
"2006-10-16","16 Oct 2006","3.185556"
"2006-10-17","17 Oct 2006","3.193790"
"2006-10-18","18 Oct 2006","3.191460"
"2006-10-19","19 Oct 2006","3.194137"
"2006-10-20","20 Oct 2006","3.202959"
"2006-10-23","23 Oct 2006","3.207361"
"2006-10-24","24 Oct 2006","3.213058"
"2006-10-25","25 Oct 2006","3.219711"
"2006-10-26","26 Oct 2006","3.226636"
"2006-10-27","27 Oct 2006","3.232427"
"2006-10-30","30 Oct 2006","3.227694"
"2006-10-31","31 Oct 2006","3.219194"
"2006-11-01","01 Nov 2006","3.241752"
"2006-11-02","02 Nov 2006","3.247881"
"2006-11-03","03 Nov 2006","3.246722"
"2006-11-06","06 Nov 2006","3.258337"
"2006-11-07","07 Nov 2006","3.258262"
"2006-11-08","08 Nov 2006","3.268315"
"2006-11-09","09 Nov 2006","3.289598"
"2006-11-10","10 Nov 2006","3.293609"
"2006-11-13","13 Nov 2006","3.293306"
"2006-11-14","14 Nov 2006","3.295442"
"2006-11-15","15 Nov 2006","3.298795"
"2006-11-16","16 Nov 2006","3.304389"
"2006-11-17","17 Nov 2006","3.311005"
"2006-11-20","20 Nov 2006","3.324338"
"2006-11-21","21 Nov 2006","3.328672"
"2006-11-22","22 Nov 2006","3.338496"
"2006-11-23","23 Nov 2006","3.353518"
"2006-11-24","24 Nov 2006","3.349547"
"2006-11-27","27 Nov 2006","3.353165"
"2006-11-28","28 Nov 2006","3.354502"
"2006-11-29","29 Nov 2006","3.347647"
"2006-11-30","30 Nov 2006","3.356333"
"2006-12-01","01 Dec 2006","3.361736"
"2006-12-04","04 Dec 2006","3.373735"
"2006-12-05","05 Dec 2006","3.380542"
"2006-12-06","06 Dec 2006","3.381083"
"2006-12-07","07 Dec 2006","3.389634"
"2006-12-08","08 Dec 2006","3.399746"
"2006-12-11","11 Dec 2006","3.412680"
"2006-12-12","12 Dec 2006","3.411179"
"2006-12-13","13 Dec 2006","3.394482"
"2006-12-14","14 Dec 2006","3.400512"
"2006-12-15","15 Dec 2006","3.404595"
"2006-12-18","18 Dec 2006","3.407884"
"2006-12-19","19 Dec 2006","3.421046"
"2006-12-20","20 Dec 2006","3.421763"
"2006-12-21","21 Dec 2006","3.428447"
"2006-12-22","22 Dec 2006","3.428929"
"2006-12-27","27 Dec 2006","3.430750"
"2006-12-28","28 Dec 2006","3.406413"
"2006-12-29","29 Dec 2006","3.443516"
"2007-01-02","02 Jan 2007","3.451263"
"2007-01-03","03 Jan 2007","3.448345"
"2007-01-04","04 Jan 2007","3.450590"
"2007-01-05","05 Jan 2007","3.459095"
"2007-01-08","08 Jan 2007","3.464992"
"2007-01-09","09 Jan 2007","3.477528"
